sku,week,units,on_promo,discount_pct
SKU-BEV-01,103,15620,1,10
SKU-BEV-01,104,13708,0,0
SKU-BEV-02,1,7291,0,0
SKU-BEV-02,2,6990,0,0
SKU-BEV-02,3,7047,0,0
SKU-BEV-02,4,8069,0,0
SKU-BEV-02,5,8753,1,10
SKU-BEV-02,6,8263,0,0
SKU-BEV-02,7,7637,0,0
SKU-BEV-02,8,8138,0,0
SKU-BEV-02,9,7566,0,0
SKU-BEV-02,10,10553,1,15
SKU-BEV-02,11,8679,0,0
SKU-BEV-02,12,8684,0,0
SKU-BEV-02,13,8825,0,0
SKU-BEV-02,14,10414,1,20
SKU-BEV-02,15,7971,0,0
SKU-BEV-02,16,8677,0,0
SKU-BEV-02,17,8046,0,0
SKU-BEV-02,18,10282,1,20
SKU-BEV-02,19,8102,0,0
SKU-BEV-02,20,7535,0,0
SKU-BEV-02,21,7623,0,0
SKU-BEV-02,22,7796,0,0
SKU-BEV-02,23,7892,0,0
SKU-BEV-02,24,7084,0,0
SKU-BEV-02,25,7209,0,0
SKU-BEV-02,26,7405,0,0
SKU-BEV-02,27,7599,0,0
SKU-BEV-02,28,6715,0,0
SKU-BEV-02,29,6742,0,0
SKU-BEV-02,30,9155,1,25
SKU-BEV-02,31,6520,0,0
SKU-BEV-02,32,6630,0,0
SKU-BEV-02,33,7188,1,10
SKU-BEV-02,34,6015,0,0
SKU-BEV-02,35,7589,1,20
SKU-BEV-02,36,7924,1,15
SKU-BEV-02,37,6615,0,0
SKU-BEV-02,38,6650,0,0
SKU-BEV-02,39,6395,0,0
SKU-BEV-02,40,6334,0,0
SKU-BEV-02,41,6814,0,0
SKU-BEV-02,42,6834,0,0
SKU-BEV-02,43,6783,0,0
SKU-BEV-02,44,6215,0,0
SKU-BEV-02,45,6439,0,0
SKU-BEV-02,46,6512,0,0
SKU-BEV-02,47,7147,0,0
SKU-BEV-02,48,7529,0,0
SKU-BEV-02,49,8605,1,20
SKU-BEV-02,50,7478,0,0
SKU-BEV-02,51,7214,0,0
SKU-BEV-02,52,7377,0,0
SKU-BEV-02,53,7765,0,0
SKU-BEV-02,54,7260,0,0
SKU-BEV-02,55,8354,0,0
SKU-BEV-02,56,7610,0,0
SKU-BEV-02,57,10397,1,15
SKU-BEV-02,58,10807,1,25
SKU-BEV-02,59,8747,0,0
SKU-BEV-02,60,9069,0,0
SKU-BEV-02,61,9282,0,0
SKU-BEV-02,62,8740,0,0
SKU-BEV-02,63,12614,1,25
SKU-BEV-02,64,9157,0,0
SKU-BEV-02,65,8289,0,0
SKU-BEV-02,66,8985,0,0
SKU-BEV-02,67,8509,0,0
SKU-BEV-02,68,8776,0,0
SKU-BEV-02,69,9140,0,0
SKU-BEV-02,70,11458,1,20
SKU-BEV-02,71,8187,0,0
SKU-BEV-02,72,10608,1,15
SKU-BEV-02,73,8732,0,0
SKU-BEV-02,74,8204,0,0
SKU-BEV-02,75,9880,1,15
SKU-BEV-02,76,7508,0,0
SKU-BEV-02,77,7519,0,0
SKU-BEV-02,78,7466,0,0
SKU-BEV-02,79,7740,0,0
SKU-BEV-02,80,8000,0,0
SKU-BEV-02,81,7960,0,0
SKU-BEV-02,82,7194,0,0
SKU-BEV-02,83,7104,0,0
SKU-BEV-02,84,7100,0,0
SKU-BEV-02,85,7421,0,0
SKU-BEV-02,86,6499,0,0
SKU-BEV-02,87,6908,0,0
SKU-BEV-02,88,6959,0,0
SKU-BEV-02,89,6635,0,0
SKU-BEV-02,90,8523,1,15
SKU-BEV-02,91,6746,0,0
SKU-BEV-02,92,6372,0,0
SKU-BEV-02,93,6508,0,0
SKU-BEV-02,94,6621,0,0
SKU-BEV-02,95,6416,0,0
SKU-BEV-02,96,6949,0,0
SKU-BEV-02,97,7651,0,0
SKU-BEV-02,98,7326,0,0
SKU-BEV-02,99,7595,0,0
SKU-BEV-02,100,8498,1,15
SKU-BEV-02,101,7365,0,0
SKU-BEV-02,102,7734,0,0
SKU-BEV-02,103,8313,0,0
SKU-BEV-02,104,7596,0,0
SKU-SNK-01,1,8699,0,0
SKU-SNK-01,2,8832,0,0
SKU-SNK-01,3,9397,0,0
SKU-SNK-01,4,9201,0,0
SKU-SNK-01,5,10182,0,0
SKU-SNK-01,6,9827,0,0
SKU-SNK-01,7,10176,0,0
SKU-SNK-01,8,9875,0,0
SKU-SNK-01,9,11105,0,0
SKU-SNK-01,10,10830,0,0
SKU-SNK-01,11,15615,1,20
SKU-SNK-01,12,10037,0,0
SKU-SNK-01,13,10446,0,0
SKU-SNK-01,14,16081,1,25
SKU-SNK-01,15,9780,0,0
SKU-SNK-01,16,14696,1,20
SKU-SNK-01,17,14824,1,25
SKU-SNK-01,18,9845,0,0
SKU-SNK-01,19,11049,0,0
SKU-SNK-01,20,10331,0,0
SKU-SNK-01,21,10374,0,0
SKU-SNK-01,22,10053,0,0
SKU-SNK-01,23,15156,1,25
SKU-SNK-01,24,9269,0,0
SKU-SNK-01,25,8989,0,0
SKU-SNK-01,26,9347,0,0
SKU-SNK-01,27,8630,0,0
SKU-SNK-01,28,9557,0,0
SKU-SNK-01,29,8808,0,0
SKU-SNK-01,30,8668,0,0
SKU-SNK-01,31,8766,0,0
SKU-SNK-01,32,8690,0,0
SKU-SNK-01,33,8287,0,0
SKU-SNK-01,34,8419,0,0
SKU-SNK-01,35,7627,0,0
SKU-SNK-01,36,8464,0,0
SKU-SNK-01,37,7514,0,0
SKU-SNK-01,38,8155,0,0
SKU-SNK-01,39,7592,0,0
SKU-SNK-01,40,8317,0,0
SKU-SNK-01,41,8674,0,0
SKU-SNK-01,42,7528,0,0
SKU-SNK-01,43,8513,0,0
SKU-SNK-01,44,12353,1,20
SKU-SNK-01,45,7794,0,0
SKU-SNK-01,46,8610,0,0
SKU-SNK-01,47,8768,0,0
SKU-SNK-01,48,8720,0,0
SKU-SNK-01,49,8580,0,0
SKU-SNK-01,50,9537,0,0
SKU-SNK-01,51,9396,0,0
SKU-SNK-01,52,9347,0,0
SKU-SNK-01,53,10443,0,0
SKU-SNK-01,54,9595,0,0
SKU-SNK-01,55,10341,0,0
SKU-SNK-01,56,9625,0,0
SKU-SNK-01,57,10418,0,0
SKU-SNK-01,58,10569,0,0
SKU-SNK-01,59,13424,1,15
SKU-SNK-01,60,10244,0,0
SKU-SNK-01,61,13909,1,10
SKU-SNK-01,62,10721,0,0
SKU-SNK-01,63,10791,0,0
SKU-SNK-01,64,13938,1,15
SKU-SNK-01,65,12769,1,10
SKU-SNK-01,66,10624,0,0
SKU-SNK-01,67,10789,0,0
SKU-SNK-01,68,11530,0,0
SKU-SNK-01,69,10580,0,0
SKU-SNK-01,70,10501,0,0
SKU-SNK-01,71,11234,0,0
SKU-SNK-01,72,10665,0,0
SKU-SNK-01,73,16389,1,20
SKU-SNK-01,74,10030,0,0
SKU-SNK-01,75,14952,1,25
SKU-SNK-01,76,10420,0,0
SKU-SNK-01,77,9910,0,0
SKU-SNK-01,78,10423,0,0
SKU-SNK-01,79,14535,1,20
SKU-SNK-01,80,9661,0,0
SKU-SNK-01,81,8838,0,0
SKU-SNK-01,82,15156,1,25
SKU-SNK-01,83,9392,0,0
SKU-SNK-01,84,9221,0,0
SKU-SNK-01,85,13019,1,25
SKU-SNK-01,86,8300,0,0
SKU-SNK-01,87,11012,1,15
SKU-SNK-01,88,9075,0,0
SKU-SNK-01,89,11414,1,15
SKU-SNK-01,90,7905,0,0
SKU-SNK-01,91,8716,0,0
SKU-SNK-01,92,8453,0,0
SKU-SNK-01,93,8932,0,0
SKU-SNK-01,94,8908,0,0
SKU-SNK-01,95,11142,1,15
SKU-SNK-01,96,8389,0,0
SKU-SNK-01,97,8664,0,0
SKU-SNK-01,98,9722,0,0
SKU-SNK-01,99,9522,0,0
SKU-SNK-01,100,8718,0,0
SKU-SNK-01,101,10233,0,0
SKU-SNK-01,102,9877,0,0
SKU-SNK-01,103,10748,0,0
SKU-SNK-01,104,9682,0,0
SKU-SNK-02,1,8297,1,15
SKU-SNK-02,2,6490,0,0
SKU-SNK-02,3,6570,0,0
SKU-SNK-02,4,7971,1,10
SKU-SNK-02,5,6339,0,0
SKU-SNK-02,6,6434,0,0
SKU-SNK-02,7,8884,1,15
SKU-SNK-02,8,6360,0,0
SKU-SNK-02,9,8777,1,20
SKU-SNK-02,10,6572,0,0
SKU-SNK-02,11,6711,0,0
SKU-SNK-02,12,7310,0,0
SKU-SNK-02,13,6744,0,0
SKU-SNK-02,14,6607,0,0
SKU-SNK-02,15,8793,1,10
SKU-SNK-02,16,7190,0,0
SKU-SNK-02,17,7405,0,0
SKU-SNK-02,18,6527,0,0
SKU-SNK-02,19,6742,0,0
SKU-SNK-02,20,6588,0,0
SKU-SNK-02,21,9250,1,15
SKU-SNK-02,22,6652,0,0
SKU-SNK-02,23,6450,0,0
SKU-SNK-02,24,6492,0,0
SKU-SNK-02,25,6010,0,0
SKU-SNK-02,26,5957,0,0
SKU-SNK-02,27,7362,1,15
SKU-SNK-02,28,5605,0,0
SKU-SNK-02,29,5580,0,0
SKU-SNK-02,30,5404,0,0
SKU-SNK-02,31,7119,1,10
SKU-SNK-02,32,7753,1,20
SKU-SNK-02,33,5533,0,0
SKU-SNK-02,34,5218,0,0
SKU-SNK-02,35,5328,0,0
SKU-SNK-02,36,5286,0,0
SKU-SNK-02,37,5691,0,0
SKU-SNK-02,38,5077,0,0
SKU-SNK-02,39,5638,0,0
SKU-SNK-02,40,5682,0,0
SKU-SNK-02,41,5621,0,0
SKU-SNK-02,42,5686,0,0
SKU-SNK-02,43,5652,0,0
SKU-SNK-02,44,5105,0,0
SKU-SNK-02,45,5841,0,0
SKU-SNK-02,46,5471,0,0
SKU-SNK-02,47,6047,0,0
SKU-SNK-02,48,5449,0,0
SKU-SNK-02,49,6424,0,0
SKU-SNK-02,50,8462,1,25
SKU-SNK-02,51,8637,1,25
SKU-SNK-02,52,6797,0,0
SKU-SNK-02,53,6226,0,0
SKU-SNK-02,54,6997,0,0
SKU-SNK-02,55,6242,0,0
SKU-SNK-02,56,6727,0,0
SKU-SNK-02,57,7006,0,0
SKU-SNK-02,58,10129,1,25
SKU-SNK-02,59,6583,0,0
SKU-SNK-02,60,6779,0,0
SKU-SNK-02,61,7113,0,0
SKU-SNK-02,62,7495,0,0
SKU-SNK-02,63,7362,0,0
SKU-SNK-02,64,7917,0,0
SKU-SNK-02,65,7270,0,0
SKU-SNK-02,66,8011,0,0
SKU-SNK-02,67,7862,0,0
SKU-SNK-02,68,9489,1,20
SKU-SNK-02,69,7123,0,0
SKU-SNK-02,70,6930,0,0
SKU-SNK-02,71,7438,0,0
SKU-SNK-02,72,7006,0,0
SKU-SNK-02,73,7376,0,0
SKU-SNK-02,74,8741,1,10
SKU-SNK-02,75,6545,0,0
SKU-SNK-02,76,8809,1,15
SKU-SNK-02,77,6850,0,0
SKU-SNK-02,78,6648,0,0
SKU-SNK-02,79,6871,0,0
SKU-SNK-02,80,5945,0,0
SKU-SNK-02,81,6835,1,10
SKU-SNK-02,82,5835,0,0
SKU-SNK-02,83,6163,0,0
SKU-SNK-02,84,6290,0,0
SKU-SNK-02,85,5447,0,0
SKU-SNK-02,86,5683,0,0
SKU-SNK-02,87,5524,0,0
SKU-SNK-02,88,5694,0,0
SKU-SNK-02,89,5374,0,0
SKU-SNK-02,90,5876,0,0
SKU-SNK-02,91,7547,1,20
SKU-SNK-02,92,5782,0,0
SKU-SNK-02,93,6334,1,10
SKU-SNK-02,94,5874,0,0
SKU-SNK-02,95,6038,0,0
SKU-SNK-02,96,6080,0,0
SKU-SNK-02,97,5891,0,0
SKU-SNK-02,98,6364,0,0
SKU-SNK-02,99,5782,0,0
SKU-SNK-02,100,6054,0,0
SKU-SNK-02,101,7828,1,10
SKU-SNK-02,102,7856,1,10
SKU-SNK-02,103,8504,1,20
SKU-SNK-02,104,8571,1,10
SKU-HOM-01,1,5139,0,0
SKU-HOM-01,2,5397,0,0
SKU-HOM-01,3,5095,0,0
SKU-HOM-01,4,5758,0,0
SKU-HOM-01,5,5667,0,0
SKU-HOM-01,6,5263,0,0
SKU-HOM-01,7,5258,0,0
SKU-HOM-01,8,6072,0,0
SKU-HOM-01,9,5752,0,0
SKU-HOM-01,10,5361,0,0
SKU-HOM-01,11,6167,1,10
SKU-HOM-01,12,5923,0,0
SKU-HOM-01,13,5774,0,0
SKU-HOM-01,14,6786,1,10
SKU-HOM-01,15,8129,1,25
SKU-HOM-01,16,6521,1,15
SKU-HOM-01,17,6123,0,0
SKU-HOM-01,18,5379,0,0
SKU-HOM-01,19,5468,0,0
SKU-HOM-01,20,6067,0,0
SKU-HOM-01,21,5494,0,0
SKU-HOM-01,22,5741,0,0
SKU-HOM-01,23,5690,0,0
SKU-HOM-01,24,5568,0,0
SKU-HOM-01,25,4983,0,0
SKU-HOM-01,26,5522,0,0
SKU-HOM-01,27,5297,0,0
SKU-HOM-01,28,6045,1,15
SKU-HOM-01,29,5045,0,0
SKU-HOM-01,30,5073,0,0
SKU-HOM-01,31,4457,0,0
SKU-HOM-01,32,4454,0,0
SKU-HOM-01,33,4902,0,0
SKU-HOM-01,34,4731,0,0
SKU-HOM-01,35,4398,0,0
SKU-HOM-01,36,4758,0,0
SKU-HOM-01,37,4524,0,0
SKU-HOM-01,38,5560,1,20
SKU-HOM-01,39,4290,0,0
SKU-HOM-01,40,4713,0,0
SKU-HOM-01,41,6013,1,25
SKU-HOM-01,42,4941,0,0
SKU-HOM-01,43,4650,0,0
SKU-HOM-01,44,4833,0,0
SKU-HOM-01,45,4839,0,0
SKU-HOM-01,46,5087,0,0
SKU-HOM-01,47,4931,0,0
SKU-HOM-01,48,5175,0,0
SKU-HOM-01,49,5076,0,0
SKU-HOM-01,50,6424,1,15
SKU-HOM-01,51,5689,0,0
SKU-HOM-01,52,5728,0,0
SKU-HOM-01,53,7562,1,20
SKU-HOM-01,54,5692,0,0
SKU-HOM-01,55,5986,0,0
SKU-HOM-01,56,5815,0,0
SKU-HOM-01,57,6287,0,0
SKU-HOM-01,58,6105,0,0
SKU-HOM-01,59,6603,1,10
SKU-HOM-01,60,5757,0,0
SKU-HOM-01,61,6458,0,0
SKU-HOM-01,62,5984,0,0
SKU-HOM-01,63,5970,0,0
SKU-HOM-01,64,8991,1,25
SKU-HOM-01,65,7092,1,10
SKU-HOM-01,66,6634,0,0
SKU-HOM-01,67,6095,0,0
SKU-HOM-01,68,6078,0,0
SKU-HOM-01,69,6664,0,0
SKU-HOM-01,70,6270,0,0
SKU-HOM-01,71,6108,0,0
SKU-HOM-01,72,6441,0,0
SKU-HOM-01,73,6352,0,0
SKU-HOM-01,74,6322,0,0
SKU-HOM-01,75,5709,0,0
SKU-HOM-01,76,5724,0,0
SKU-HOM-01,77,8123,1,25
SKU-HOM-01,78,5925,0,0
SKU-HOM-01,79,5564,0,0
SKU-HOM-01,80,7397,1,25
SKU-HOM-01,81,5279,0,0
SKU-HOM-01,82,5142,0,0
SKU-HOM-01,83,7134,1,25
SKU-HOM-01,84,6532,1,15
SKU-HOM-01,85,5322,0,0
SKU-HOM-01,86,5063,0,0
SKU-HOM-01,87,4799,0,0
SKU-HOM-01,88,5269,0,0
SKU-HOM-01,89,5192,0,0
SKU-HOM-01,90,5008,0,0
SKU-HOM-01,91,5324,0,0
SKU-HOM-01,92,4616,0,0
SKU-HOM-01,93,5059,0,0
SKU-HOM-01,94,4947,0,0
SKU-HOM-01,95,5152,0,0
SKU-HOM-01,96,5450,0,0
SKU-HOM-01,97,5354,0,0
SKU-HOM-01,98,4945,0,0
SKU-HOM-01,99,5550,0,0
SKU-HOM-01,100,5080,0,0
SKU-HOM-01,101,5291,0,0
SKU-HOM-01,102,5706,0,0
SKU-HOM-01,103,6218,0,0
SKU-HOM-01,104,6186,0,0
SKU-HOM-02,1,5037,1,20
SKU-HOM-02,2,3980,0,0
SKU-HOM-02,3,3964,0,0
SKU-HOM-02,4,4421,0,0
SKU-HOM-02,5,4097,0,0
SKU-HOM-02,6,4615,0,0
SKU-HOM-02,7,4425,0,0
SKU-HOM-02,8,4603,0,0
SKU-HOM-02,9,4378,0,0
SKU-HOM-02,10,4740,0,0
SKU-HOM-02,11,4624,0,0
SKU-HOM-02,12,6111,1,25
SKU-HOM-02,13,4485,0,0
SKU-HOM-02,14,5884,1,15
SKU-HOM-02,15,4838,0,0
SKU-HOM-02,16,4758,0,0
SKU-HOM-02,17,4690,0,0
SKU-HOM-02,18,4737,0,0
SKU-HOM-02,19,6636,1,25
SKU-HOM-02,20,4200,0,0
SKU-HOM-02,21,4565,0,0
SKU-HOM-02,22,4155,0,0
SKU-HOM-02,23,4310,0,0
SKU-HOM-02,24,4236,0,0
SKU-HOM-02,25,3939,0,0
SKU-HOM-02,26,4350,0,0
SKU-HOM-02,27,4119,0,0
SKU-HOM-02,28,5066,1,15
SKU-HOM-02,29,3894,0,0
SKU-HOM-02,30,3816,0,0
SKU-HOM-02,31,4072,0,0
SKU-HOM-02,32,3928,0,0
SKU-HOM-02,33,4417,1,10
SKU-HOM-02,34,3907,0,0
SKU-HOM-02,35,3599,0,0
SKU-HOM-02,36,3438,0,0
SKU-HOM-02,37,3389,0,0
SKU-HOM-02,38,3733,0,0
SKU-HOM-02,39,3660,0,0
SKU-HOM-02,40,3680,0,0
SKU-HOM-02,41,3437,0,0
SKU-HOM-02,42,3678,0,0
SKU-HOM-02,43,4712,1,25
SKU-HOM-02,44,3589,0,0
SKU-HOM-02,45,3995,0,0
SKU-HOM-02,46,4166,0,0
SKU-HOM-02,47,3769,0,0
SKU-HOM-02,48,3768,0,0
SKU-HOM-02,49,4213,0,0
SKU-HOM-02,50,4484,0,0
SKU-HOM-02,51,4195,0,0
SKU-HOM-02,52,4538,0,0
SKU-HOM-02,53,4341,0,0
SKU-HOM-02,54,4182,0,0
SKU-HOM-02,55,4870,0,0
SKU-HOM-02,56,4376,0,0
SKU-HOM-02,57,4472,0,0
SKU-HOM-02,58,4611,0,0
SKU-HOM-02,59,6456,1,25
SKU-HOM-02,60,5280,0,0
SKU-HOM-02,61,5366,0,0
SKU-HOM-02,62,5006,0,0
SKU-HOM-02,63,5052,0,0
SKU-HOM-02,64,5479,1,10
SKU-HOM-02,65,5392,0,0
SKU-HOM-02,66,5193,0,0
SKU-HOM-02,67,6568,1,20
SKU-HOM-02,68,4841,0,0
SKU-HOM-02,69,7138,1,25
SKU-HOM-02,70,5310,0,0
SKU-HOM-02,71,6038,1,15
SKU-HOM-02,72,4982,0,0
SKU-HOM-02,73,5116,0,0
SKU-HOM-02,74,4984,0,0
SKU-HOM-02,75,4927,0,0
SKU-HOM-02,76,4657,0,0
SKU-HOM-02,77,4853,0,0
SKU-HOM-02,78,4557,0,0
SKU-HOM-02,79,4191,0,0
SKU-HOM-02,80,4606,0,0
SKU-HOM-02,81,4440,0,0
SKU-HOM-02,82,3879,0,0
SKU-HOM-02,83,5157,1,20
SKU-HOM-02,84,4271,0,0
SKU-HOM-02,85,3947,0,0
SKU-HOM-02,86,3677,0,0
SKU-HOM-02,87,3998,0,0
SKU-HOM-02,88,5403,1,20
SKU-HOM-02,89,4067,0,0
SKU-HOM-02,90,4142,0,0
SKU-HOM-02,91,5283,1,25
SKU-HOM-02,92,3807,0,0
SKU-HOM-02,93,4081,0,0
SKU-HOM-02,94,4070,0,0
SKU-HOM-02,95,4160,0,0
SKU-HOM-02,96,4156,0,0
SKU-HOM-02,97,5841,1,25
SKU-HOM-02,98,4240,0,0
SKU-HOM-02,99,3904,0,0
SKU-HOM-02,100,5540,1,25
SKU-HOM-02,101,4182,0,0
SKU-HOM-02,102,4264,0,0
SKU-HOM-02,103,4279,0,0
SKU-HOM-02,104,4376,0,0
